timestamps,DiagIf_ctIumprDenom,DiagIf_tiIumprEngOnCum,DiagIf_tiIumprIdl,DiagIf_tiIumprVehSpdCum,Eng_ctMisfAdpPlausAbs,Eng_ctMisfAdpPlausNvm,Eng_ctMisfAdpPlausRel,Eng_ctMisfEmiIntl,Eng_ctMisfTiAdpRst,Exh_facOxiCat1Bnk1,Veh_pEnvLstDcy,Veh_tiEngOffEngSpdCyc,Air_bCAir_bChkCycCmpl_pEnvhk,Veh_bDiagEcuOffFin
157.00011492813837,8,153.60000000000002,0.0,97.4,0,0,0,3,0,6.886474609375,962.5,210,b'TRUE',b'TRUE'
158.0000184837313,8,154.60000000000002,0.0,98.4,0,0,0,3,0,6.886474609375,962.3046875,210,b'TRUE',b'TRUE'
159.00000494507094,8,155.60000000000002,0.0,99.4,0,0,0,3,0,6.886474609375,962.3046875,210,b'TRUE',b'TRUE'
159.99995514824514,8,156.60000000000002,0.0,100.4,0,0,0,3,0,6.886474609375,962.3046875,210,b'TRUE',b'TRUE'
160.9999893514364,8,157.60000000000002,0.0,101.4,0,0,0,3,0,6.886474609375,962.3046875,210,b'TRUE',b'TRUE'
162.00091560103192,8,158.60000000000002,0.0,102.4,0,0,0,3,0,6.886474609375,962.3046875,210,b'TRUE',b'TRUE'
163.00031298790418,8,159.60000000000002,0.0,103.4,0,0,0,3,0,6.886474609375,962.3046875,210,b'TRUE',b'TRUE'
164.0012203753604,8,160.60000000000002,0.0,104.4,0,0,0,3,0,6.886474609375,962.109375,210,b'TRUE',b'TRUE'
165.00018474634726,8,161.60000000000002,0.0,105.4,0,0,0,3,0,6.886474609375,961.9140625,210,b'TRUE',b'TRUE'
165.9999470675598,8,162.60000000000002,0.0,106.4,0,0,0,3,0,6.886474609375,961.9140625,210,b'TRUE',b'TRUE'
166.99960138873712,8,163.60000000000002,0.0,107.4,0,0,0,3,0,6.886474609375,961.9140625,210,b'TRUE',b'TRUE'
168.00122670059636,8,164.60000000000002,0.0,108.4,0,0,0,3,0,6.886474609375,962.3046875,210,b'TRUE',b'TRUE'
169.00127897982293,8,165.60000000000002,0.0,109.4,0,0,0,3,0,6.886474609375,962.3046875,210,b'TRUE',b'TRUE'
169.99999025867555,8,166.60000000000002,0.0,110.4,0,0,0,3,0,6.886474609375,962.3046875,210,b'TRUE',b'TRUE'
170.9998635185275,8,167.60000000000002,0.0,111.4,0,0,0,3,0,6.886474609375,962.3046875,210,b'TRUE',b'TRUE'
171.9998747167083,8,168.60000000000002,0.0,112.4,0,0,0,3,0,6.886474609375,962.3046875,210,b'TRUE',b'TRUE'
172.99993391489897,8,169.60000000000002,0.0,113.4,0,0,0,3,0,6.886474609375,962.3046875,210,b'TRUE',b'TRUE'
174.00110118501743,8,170.60000000000002,0.0,114.4,0,0,0,3,0,6.886474609375,962.109375,210,b'TRUE',b'TRUE'
175.00094569692646,8,171.60000000000002,0.0,115.4,0,0,0,3,0,6.886474609375,962.109375,210,b'TRUE',b'TRUE'
175.99986019998778,8,172.60000000000002,0.0,116.4,0,0,0,3,0,6.886474609375,962.3046875,210,b'TRUE',b'TRUE'
176.9997737718645,8,173.60000000000002,0.0,117.4,0,0,0,3,0,6.886474609375,962.3046875,210,b'TRUE',b'TRUE'
177.99952587485814,8,174.60000000000002,0.0,118.4,0,0,0,3,0,6.886474609375,962.3046875,210,b'TRUE',b'TRUE'
179.00093898632986,8,175.60000000000002,0.0,119.4,0,0,0,3,0,6.886474609375,962.3046875,210,b'TRUE',b'TRUE'
179.99979557836787,8,176.60000000000002,0.0,120.4,0,0,0,3,0,6.886474609375,962.3046875,210,b'TRUE',b'TRUE'
180.99972421523262,8,177.60000000000002,0.0,121.4,0,0,0,3,0,6.886474609375,962.109375,210,b'TRUE',b'TRUE'
181.99973485231385,8,178.60000000000002,0.0,122.4,0,0,0,3,0,6.886474609375,961.9140625,210,b'TRUE',b'TRUE'
182.99991726616418,8,179.60000000000002,0.0,123.4,0,0,0,3,0,6.886474609375,961.9140625,210,b'TRUE',b'TRUE'
